Product_Category,Date,Customer_Region,Sum of Order_Demand
Category_001,102012,north,24319
Category_001,102012,south,977
Category_001,102012,west,2393
Category_001,102013,north,25050
Category_001,102013,south,2458
Category_001,102013,west,1897
Category_001,102014,east,100
Category_001,102014,north,36016
Category_001,102014,south,2653
Category_001,102014,west,442
Category_001,102015,east,2
Category_001,102015,north,33596
Category_001,102015,south,2808
Category_001,102015,west,452
Category_001,102016,east,25
Category_001,102016,north,29574
Category_001,102016,south,513
Category_001,102016,west,865
Category_001,112012,north,23396
Category_001,112012,south,1062
Category_001,112012,west,881
Category_001,112013,east,52
Category_001,112013,north,25194
Category_001,112013,south,1329
Category_001,112013,west,813
Category_001,112014,east,60
Category_001,112014,north,30023
Category_001,112014,south,945
Category_001,112014,west,491
Category_001,112015,north,28765
Category_001,112015,south,1478
Category_001,112015,west,356
Category_001,112016,east,6
Category_001,112016,north,33342
Category_001,112016,south,342
Category_001,112016,west,1327
Category_001,12012,north,19835
Category_001,12012,south,1529
Category_001,12012,west,925
Category_001,12013,north,19270
Category_001,12013,south,1630
Category_001,12013,west,1432
Category_001,12014,east,44
Category_001,12014,north,24362
Category_001,12014,south,685
Category_001,12014,west,1299
Category_001,12015,north,31693
Category_001,12015,south,2598
Category_001,12015,west,1500
Category_001,12016,east,31
Category_001,12016,north,29508
Category_001,12016,south,470
Category_001,12016,west,1205
Category_001,12017,north,29
Category_001,122011,north,766
Category_001,122011,south,34
Category_001,122011,west,169
Category_001,122012,north,19951
Category_001,122012,south,942
Category_001,122012,west,498
Category_001,122013,north,27669
Category_001,122013,south,593
Category_001,122013,west,669
Category_001,122014,north,31101
Category_001,122014,south,901
Category_001,122014,west,1074
Category_001,122015,east,46
Category_001,122015,north,26999
Category_001,122015,south,1084
Category_001,122015,west,902
Category_001,122016,east,1
Category_001,122016,north,42069
Category_001,122016,south,449
Category_001,122016,west,735
Category_001,22012,north,24313
Category_001,22012,south,742
Category_001,22012,west,1279
Category_001,22013,north,26972
Category_001,22013,south,2386
Category_001,22013,west,172
Category_001,22014,east,139
Category_001,22014,north,25278
Category_001,22014,south,623
Category_001,22014,west,761
Category_001,22015,north,35975
Category_001,22015,south,1466
Category_001,22015,west,619
Category_001,22016,east,73
Category_001,22016,north,32745
Category_001,22016,south,629
